hanzi,pinyin,english
换,huan4,"to exchange, to switch, to swap"
结婚,jie2 hun1,"to marry, to get married"
段,duan4,"paragraph, section, segment"
努力,nu3 li4,"great effort, to strive, to try hard"
害怕,hai4 pa4,"to be afraid, to be scared"
刚才,gang1 cai2,"just now, a moment ago,"
节目,jie2 mu4,"program, item (on a program)"
辆,liang4,classifier for vehicles
万,wan4,ten thousand
关,guan1,"to close, to shut"
解决,jie3 jue2,"to resolve, to solve, to settle (a dispute)"
办公室,ban4 gong1 shi4,"office, business premises"
奇怪,qi2 guai4,"strange, odd"
同意,tong2 yi4,"to agree, to approve"
游戏,you2 xi4,game
帮忙,bang1 mang2,"to help, to lend a hand"
国家,guo2 jia1,"country, nation, state"
最近,zui4 jin4,"recent, recently"
声音,sheng1 yin1,"voice, sound"
可爱,ke3 ai4,"cute, adorable"
分,fen1,"minute (of time)
to divide, to separate
to allocate, to distinguish (good and bad)"
完成,wan2 cheng2,"to complete, to accomplish"
半,ban4,half
要求,yao1 qiu2,"to request, to demand, to require"
除了,chu2 le5,"besides (sth), apart from (sth)"
容易,rong2 yi4,easy
虽然,sui1 ran2,"although, even though"
教,jiao4,"to teach,"
脸,lian3,face
简单,jian3 dan1,"simple, not complicated"
检查,jian3 cha2,"to inspect, to examine"
使,shi3,"to make, to cause
to use, to employ, to send"
音乐,yin1 yue4,music
越,yue4,"the more... the more, to surpass"
照顾,zhao4 gu5,"to take care of, to look after"
聪明,cong1 ming5,"smart, clever, intelligent"
甜,tian2,sweet
突然,tu1 ran2,suddenly
终于,zhong1 yu2,"finally, at last"
祝,zhu4,"to wish, to express good wishes"
口,kou3,mouth
礼物,li3 wu4,"gift, present"
头发,tou2 fa5,hair (on the head)
关心,guan1 xin1,"to care about sth, caring, concerned,"
兴趣,xing4 qu4,interest (in sth)
脚,jiao3,"foot, base (of an object)"
生气,sheng1 qi4,"angry, mad"
哭,ku1,"to cry, to weep"
画,hua4,"to draw, to paint
picture, painting"
年轻,nian2 qing1,young
包,bao1,"bundle, pack, bag
to wrap, to surround"
腿,tui3,leg
忘记,wang4 ji4,to forget
搬,ban1,"to move (house), to shift, to transport"
楼,lou2,"floor, story (within a building)"
遇到,yu4 dao4,"to come across, to run into"
新闻,xin1 wen2,news
比较,bi3 jiao4,"relatively, comparatively"
双,shuang1,pair (of sth)
见面,jian4 mian4,"to meet, to see sb"
经常,jing1 chang2,"often, frequently"
城市,cheng2 shi4,"city, town"
一会儿,yi1 hui4 r5,"a while, a moment"
附近,fu4 jin4,nearby
借,jie4,"to lend, to borrow"
影响,ying3 xiang3,"to affect (usually adversely)
influence, effect"
认真,ren4 zhen1,"serious, to take seriously, earnest, "
米,mi3,"rice, meter"
差,cha4,"lacking, to fall short of"
银行,yin2 hang2,bank
安静,an1 jing4,"quiet, peaceful, calm"
多么,duo1 me5,"emphasize or intensify adjective, similar to ""how [adj]"""
饿,e4,hungry
根据,gen1 ju4,"according to, based on, basis"
几乎,ji1 hu1,"almost, nearly, practically,"
动物,dong4 wu4,animal
西,xi1,west
一边,yi1 bian1,"lit: one side
used for doing (sth) while (sth else)"
舒服,shu1 fu5,"comfortable, feeling well"
一般,yi1 ban1,"common, ordinary, in general
same"
叔叔,shu1 shu5,"uncle
father's younger brother"
疼,teng2,"(it) hurts, sore"
迟到,chi2 dao4,to arrive late
鞋,xie2,shoe
历史,li4 shi3,history
啤酒,pi2 jiu3,beer
短,duan3,"short, brief
to lack, weak point, fault"
经过,jing1 guo4,"as a result of, through
process, course
to pass, to go through"
周末,zhou1 mo4,weekend
班,ban1,"team, class, squad"
习惯,xi2 guan4,"habit, to be used to"
公园,gong1 yuan2,public park
干净,gan1 jing4,clean
鸟,niao3,bird
健康,jian4 kang1,"health, healthy"
树,shu4,tree
蛋糕,dan4 gao1,cake
客人,ke4 ren2,"visitor, guest, customer"
会议,hui4 yi4,"meeting, conference"
奶奶,nai3 nai5,(informal) grandma (paternal grandmother)
裤子,ku4 zi5,"pants, trousers"
低,di1,"low, beneath, to lower (one's head)"
邻居,lin2 ju1,neighbor
表示,biao3 shi4,"to express (thoughts, feelings etc), to show"
经理,jing1 li3,manager
作用,zuo4 yong4,"function, effect, role"
层,ceng2,"layer, stratum, floors, storey (of a building, used when counting)"
灯,deng1,"lamp, light, lantern"
练习,lian4 xi2,"practice, exercise, drill"
爷爷,ye2 ye5,(informal) paternal grandfather
厨房,chu2 fang2,kitchen
蓝,lan2,blue
难过,nan2 guo4,"to feel sad, suffer hard times"
中间,zhong1 jian1,"between, middle, among"
帽子,mao4 zi5,hat
司机,si1 ji1,"chauffeur, driver"
旧,jiu4,"old, worn (with age)"
糖,tang2,"sugar, sweets, candy"
满意,man3 yi4,"satisfied, pleased, content"
骑,qi2,"to ride (an animal or bike), to sit astride,"
太阳,tai4 yang2,sun
极,ji2,extremely
主要,zhu3 yao4,"main, principal, major, primary"
同事,tong2 shi4,"colleague, co-worker"
鼻子,bi2 zi5,nose
角,jiao3,"angle, corner"
变化,bian4 hua4,"change, variation
to change, to vary"
东,dong1,East
年级,nian2 ji2,"grade, year (in school)"
环境,huan2 jing4,environment
胖,pang4,"fat, plump"
地图,di4 tu2,map
面包,mian4 bao1,bread
相同,xiang1 tong2,"identical, same"
耳朵,er3 duo5,ear
裙子,qun2 zi5,skirt
新鲜,xin1 xian1,fresh
放心,fang4 xin1,"to feel relieved or reassured, to be at ease,"
河,he2,river
南,nan2,South
举行,ju3 xing2,"to hold (a meeting, ceremony etc)"
热情,re4 qing2,"warm, enthusiastic, zeal, fervor"
电梯,dian4 ti1,elevator
方便,fang1 bian4,convenient
黄,huang2,yellow
洗手间,xi3 shou3 jian1,washroom
洗澡,xi3 zao3,"to bathe, to take a shower"
校长,xiao4 zhang3,"(school) principal, headmaster"
水平,shui3 ping2,"level (of achievement), standard"
作业,zuo4 ye4,"homework, school assignment"
电子,dian4 zi3,"electronic, electron"
衬衫,chen4 shan1,"shirt, blouse"
成绩,cheng2 ji4,grades (school)
碗,wan3,bowl
眼镜,yan3 jing4,"eyeglasses, spectacles"
阿姨,a1 yi2,maternal aunt
图书馆,tu2 shu1 guan3,library
文化,wen2 hua4,culture
刮,gua1,"to scrape, to scratch, to shave
to blow (of the wind)"
绿,lv4,green
打扫,da3 sao3,"to clean, to sweep"
花园,hua1 yuan2,garden
草,cao3,"grass, straw"
冰箱,bing1 xiang1,"refrigerator, icebox"
数学,shu4 xue2,mathematics
着急,zhao2 ji2,"to worry, to feel anxious
implies urgency, pressure"
瘦,shou4,"thin, lean, to lose weight"
提高,ti2 gao1,"to raise, to increase, to improve"
矮,ai3,"short (height), low"
地铁,di4 tie3,"subway, metro"
体育,ti3 yu4,sports
刻,ke4,"moment, quarter-hour"
护照,hu4 zhao4,passport
节日,jie2 ri4,"holiday, festival"
刷,shua1,to brush
盘子,pan2 zi5,"plate, dish, tray"
一共,yi1 gong4,altogether
街道,jie1 dao4,"street, district"
果汁,guo3 zhi1,fruit juice
锻炼,duan4 lian4,"to work out, physical fitness exercises"
感冒,gan3 mao4,(common) cold
爱好,ai4 hao4,hobby
超市,chao1 shi4,supermarket
月亮,yue4 liang5,the moon
饱,bao3,"to eat till full, satisfied"
有名,you3 ming2,"famous, well-known"
香蕉,xiang1 jiao1,banana
宾馆,bin1 guan3,"guesthouse, lodge, inn"
云,yun2,cloud
夏,xia4,summer
菜单,cai4 dan1,menu
北方,bei3 fang1,"North (direction, region)"
上网,shang4 wang3,"to go online, surf the internet"
季节,ji4 jie2,season
面条,mian4 tiao2,noodles
发烧,fa1 shao1,(to have a) fever
渴,ke3,thirsty
空调,kong1 tiao2,air conditioning
照相机,zhao4 xiang4 ji1,camera
铅笔,qian1 bi3,pencil
春,chun1,spring (season)
葡萄,pu2 tao2,grape
伞,san3,umbrella
熊猫,xiong2 mao1,panda
复习,fu4 xi2,"to revise, to review, revision"
冬,dong1,winter
字典,zi4 dian3,dictionary
词语,ci2 yu3,"word, expression, term (e.g. technical term)"
秋,qiu1,"autumn, fall"
句子,ju4 zi5,sentence (language)
行李箱,xing2 li5 xiang1,"suitcase, baggage, overhead bin"
筷子,kuai4 zi5,chopsticks
爬山,pa2 shan1,"hiking, mountain climbing"
黑板,hei1 ban3,blackboard
普通话,pu3 tong1 hua4,Mandarin (common language)
