hanzi,pinyin,english
轉移,zhuan3 yi2,"to shift, to divert or distract (attention etc), to change, to transform, metastasis (medicine),"
擺脫,bai3 tuo1,"to break away from, to cast off (old ideas etc), to get rid of, to break away (from), to break out (of), to free oneself from, to extricate oneself,"
保密,bao3 mi4,"to keep sth confidential, to maintain secrecy,"
助手,zhu4 shou3,"assistant, helper,"
棟,dong4,"classifier for houses or buildings, ridgepole (old),"
迷人,mi2 ren2,"fascinating, enchanting, charming, tempting,"
開除,kai1 chu2,"to expel,"
可笑,ke3 xiao4,"funny, ridiculous,"
儀式,yi2 shi4,"ceremony,"
混亂,hun4 luan4,"confusion, chaos, disorder,"
聯絡,lian2 luo4,"communication, to get in touch with, to contact, connection (math.),"
癌症,ai2 zheng4,"cancer,"
天才,tian1 cai2,"talent, gift, genius, talented, gifted,"
發射,fa1 she4,"to shoot (a projectile), to fire (a rocket), to launch, to emit (a particle), to discharge, emanation, emission,"
生存,sheng1 cun2,"to exist, to survive,"
結局,jie2 ju2,"conclusion, ending,"
非法,fei1 fa3,"illegal,"
人家,ren2 jia1,"other people, sb else, he, she or they, I, me (referring to oneself as ""one"" or ""people""),"
動機,dong4 ji1,"motor, locomotive, motive, motivation, intention,"
欺騙,qi1 pian4,"to deceive, to cheat,"
並非,bing4 fei1,"really isn't,"
人質,ren2 zhi4,"hostage,"
扮演,ban4 yan3,"to play the role of, to act,"
劇本,ju4 ben3,"script for play, opera, movie etc, screenplay, scenario,"
證實,zheng4 shi2,"to confirm (sth to be true), to verify,"
被告,bei4 gao4,"defendant,"
搜索,sou1 suo3,"to search, to look for sth, to scour (search meticulously), to look sth up, internet search, database search,"
網絡,Wang3 luo4,"network (computing, telecommunications, transport etc),"
時機,shi2 ji1,"fortunate timing, occasion, opportunity,"
辯護,bian4 hu4,"to speak in defense of, to argue in favor of, to defend, to plead,"
起碼,qi3 ma3,"at the minimum, at the very least,"
寧願,ning4 yuan4,"would rather, better,"
隱瞞,yin3 man2,"to conceal, to hide (a taboo subject), to cover up the truth,"
社區,she4 qu1,"community,"
助理,zhu4 li3,"assistant,"
主題,zhu3 ti2,"theme, subject,"
渴望,ke3 wang4,"to thirst for, to long for,"
溜,liu1,"to slip away, to escape in stealth, to skate,"
太空,tai4 kong1,"outer space,"
毀滅,hui3 mie4,"to perish, to ruin, to destroy,"
眼神,yan3 shen2,"expression or emotion showing in one's eyes, meaningful glance, wink, eyesight (topolect),"
古怪,gu3 guai4,"eccentric, grotesque, oddly, queer,"
進攻,jin4 gong1,"to attack, to assault, to go on the offensive, attack, assault, offense (sports),"
報復,bao4 fu4,"to make reprisals, to retaliate, revenge, retaliation,"
歐洲,Ou1 zhou1,"Europe, European,"
荒謬,huang1 miu4,"absurd, ridiculous,"
交往,jiao1 wang3,"to associate, to contact, association, contact,"
衛星,wei4 xing1,"(space) satellite, CL:顆|颗[kē],"
嘲笑,chao2 xiao4,"to jeer at, to deride, to ridicule, mockery, derision,"
期望,qi1 wang4,"to have expectations, to earnestly hope, expectation, hope,"
娃娃,wa2 wa5,"baby, small child, doll,"
達成,da2 cheng2,"to reach (an agreement), to accomplish,"
夫婦,fu1 fu4,"a (married) couple, husband and wife, CL:對|对[duì],"
新娘,xin1 niang2,"bride,"
競選,jing4 xuan3,"to take part in an election, to run for office,"
割,ge1,"to cut, to cut apart,"
制服,zhi4 fu2,"to subdue, to check, to bring under control, (in former times) what one is allowed to wear depending on social status, uniform (army, party, school etc), livery (for company employees), CL:套[tào],"
直播,zhi2 bo1,"live broadcast (not recorded), direct internet broadcasting,"
崩潰,beng1 kui4,"to collapse, to crumble, to fall apart,"
陷入,xian4 ru4,"to sink into, to get caught up in, to land in (a predicament),"
回報,hui2 bao4,"(in) return, reciprocation, payback, retaliation, to report back, to reciprocate,"
演講,yan3 jiang3,"lecture, to make a speech,"
試驗,shi4 yan4,"experiment, test, experimental, CL:次,個|个[gè],"
異常,yi4 chang2,"exceptional, abnormal, an anomaly,"
疾病,ji2 bing4,"disease, sickness, ailment,"
展現,zhan3 xian4,"to come out, to emerge,"
強迫,qiang3 po4,"to compel, to force,"
暗示,an4 shi4,"to hint, to suggest, suggestion, hint,"
當事人,dang1 shi4 ren2,"persons involved or implicated, party (to an affair),"
絕望,jue2 wang4,"desperation, forlorn, hopeless,"
沮喪,ju3 sang4,"dispirited, dejected, dismayed,"
災難,zai1 nan4,"disaster, catastrophe,"
正義,zheng4 yi4,"justice, righteous, righteousness,"
濛,meng2,"to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat,"
技巧,ji4 qiao3,"skill, technique,"
提議,ti2 yi4,"proposal, suggestion, to propose, to suggest,"
中央,zhong1 yang1,"central, middle, center, central authorities (of a state),"
即便,ji2 bian4,"even if, even though, right away, immediately,"
機密,ji1 mi4,"secret, classified (information),"
忠誠,zhong1 cheng2,"devoted, fidelity, loyal, loyalty,"
走廊,zou3 lang2,"corridor, aisle, hallway, colonnade, passageway, piazza, veranda,"
當初,dang1 chu1,"at that time, originally,"
症狀,zheng4 zhuang4,"symptom (of an illness),"
系列,xi4 lie4,"series,"
保重,bao3 zhong4,"to take care of oneself,"
震驚,zhen4 jing1,"to shock, to astonish,"
反抗,fan3 kang4,"to resist, to rebel,"
心靈,xin1 ling2,"bright, smart, quick-witted, heart, thoughts, spirit,"
掩護,yan3 hu4,"to screen, to shield, to cover, protection, cover, CL:面[miàn],"
活力,huo2 li4,"energy, vitality, vigor, vital force,"
天生,tian1 sheng1,"nature, disposition, innate, natural,"
枚,Mei2,"classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc, tree trunk, whip, wooden peg, used as a gag for marching soldiers (old),"
不止,bu4 zhi3,"incessantly, without end, more than, not limited to,"
顧問,gu4 wen4,"adviser, consultant,"
障礙,zhang4 ai4,"barrier, obstruction, hindrance, impediment, obstacle,"
敏感,min3 gan3,"sensitive, susceptible, politically sensitive (pretext for censorship),"
危機,wei1 ji1,"crisis, CL:個|个[gè],"
保守,bao3 shou3,"(politically) conservative, to guard, to keep,"
維持,wei2 chi2,"to keep, to maintain, to preserve,"
主管,zhu3 guan3,"in charge, responsible for,"
罐,guan4,"can, jar, pot,"
標記,biao1 ji4,"sign, mark, symbol, to mark up,"
出賣,chu1 mai4,"to offer for sale, to sell, to sell out or betray,"
治安,zhi4 an1,"law and order, public security,"
昏迷,hun1 mi2,"to lose consciousness, to be in a coma, stupor, coma, stunned, disoriented,"
凌晨,ling2 chen2,"very early in the morning, in the wee hours,"
侮辱,wu3 ru3,"to insult, to humiliate, dishonor,"
暴露,bao4 lu4,"to expose, to reveal, to lay bare, also pr. [pù lù],"
紳士,shen1 shi4,"gentleman,"
公民,gong1 min2,"citizen,"
殘忍,can2 ren3,"cruel, mean, merciless, ruthless,"
造型,zao4 xing2,"modeling, mold-making, model or mold, molding, pose,"
跡象,ji4 xiang4,"mark, indication, sign, indicator,"
神聖,shen2 sheng4,"divine, hallow, holy, sacred,"
航空,hang2 kong1,"aviation,"
倉庫,cang1 ku4,"depot, storehouse, warehouse,"
碼頭,ma3 tou2,"dock, pier, wharf, CL:個|个[gè],"
本人,ben3 ren2,"the person himself, I (humble form used in speeches), oneself, myself, in person, personal,"
大不了,da4 bu4 liao3,"at worst, if worst comes to worst, serious, alarming,"
補償,bu3 chang2,"to compensate, to make up,"
衝動,chong1 dong4,"to have an urge, to be impetuous, impulse, urge,"
演奏,yan3 zou4,"to play a musical instrument, to perform music,"
城堡,cheng2 bao3,"castle, rook (chess piece),"
對抗,dui4 kang4,"to withstand, to resist, to stand off, antagonism, confrontation,"
按摩,an4 mo2,"massage, to massage,"
本身,ben3 shen1,"itself, in itself, per se,"
熬,ao1,"to cook on a slow fire, to extract by heating, to decoct, to endure,"
奴隸,nu2 li4,"slave,"
在意,zai4 yi4,"to care about, to mind,"
拜訪,bai4 fang3,"to pay a visit, to call on,"
