hanzi,pinyin,english
航班,hang2 ban1,"scheduled flight, flight number, plane, scheduled sailing, sailing number, passenger ship,"
禮貌,li3 mao4,"courtesy, manners,"
提前,ti2 qian2,"to shift to an earlier date, to do sth ahead of time, in advance,"
判斷,pan4 duan4,"to decide, to determine, CL:個|个[gè],"
整理,zheng3 li3,"to arrange, to tidy up, to sort out, to straighten out, to list systematically, to collate (data, files), to pack (luggage),"
森林,sen1 lin2,"forest, CL:片[piàn],"
同情,tong2 qing2,"to sympathize with, sympathy,"
網站,wang3 zhan4,"website, network station, node,"
商量,shang1 liang5,"to consult, to talk over, to discuss,"
鏡子,jing4 zi5,"mirror, CL:面,個|个[gè],"
苦,ku3,"bitter, hardship, pain, to suffer, to bring suffering to, painstakingly,"
廣播,guang3 bo1,"broadcast, CL:個|个[gè], broadcasting, to broadcast, (formal) to propagate, to publicize,"
專門,zhuan1 men2,"specialist, specialized, customized,"
嘗,chang2,"to taste,"
材料,cai2 liao4,"material, data, makings, stuff, CL:個|个,種|种[zhǒng],"
流行,liu2 xing2,"to spread, to rage (of contagious disease), popular, fashionable, prevalent, (math.) manifold,"
對話,dui4 hua4,"dialog, CL:個|个[gè],"
圓,yuan2,"circle, round, circular, spherical, (of the moon) full, unit of Chinese currency (Yuan), tactful, to justify,"
詳細,xiang2 xi4,"detailed, in detail, minute,"
隨著,sui2 zhe5,"along with, in the wake of, following,"
嚴格,yan2 ge2,"strict, stringent, tight, rigorous,"
日記,ri4 ji4,"diary, CL:則|则,本,篇[piān],"
食品,shi2 pin3,"foodstuff, food, provisions, CL:種|种[zhǒng],"
偶爾,ou3 er3,"occasionally, once in a while, sometimes,"
億,yi4,"100 million,"
實際,shi2 ji4,"actual, reality, practice,"
起飛,qi3 fei1,"to take off (in an airplane),"
友好,You3 hao3,"friendly, amicable, close friend,"
相反,xiang1 fan3,"opposite, contrary,"
限制,xian4 zhi4,"to restrict, to limit, to confine, restriction, limit, CL:個|个[gè],"
大夫,da4 fu1,"doctor, minister of state (in pre-Han states), CL:個|个,位[wèi],"
友誼,you3 yi4,"companionship, fellowship, friendship,"
準確,zhun3 que4,"accurate, exact, precise,"
主動,zhu3 dong4,"to take the initiative, to do sth of one's own accord, spontaneous, active, opposite: passive 被動|被动[bèi dòng], drive (of gears and shafts etc),"
平時,ping2 shi2,"ordinarily, in normal times, in peacetime,"
對面,dui4 mian4,"(sitting) opposite, across (the street), directly in front, to be face to face,"
價格,jia4 ge2,"price, CL:個|个[gè],"
脾氣,pi2 qi5,"character, temperament, disposition, bad temper, CL:個|个[gè],"
性格,xing4 ge2,"nature, disposition, temperament, character, CL:個|个[gè],"
鼓勵,gu3 li4,"to encourage,"
及時,ji2 shi2,"in time, promptly, without delay, timely,"
孤單,gu1 dan1,"lone, lonely, loneliness,"
棵,ke1,"classifier for trees, cabbages, plants etc,"
理想,li3 xiang3,"a dream, an ideal, perfection, ideal, perfect, desirable, CL:個|个[gè],"
工資,gong1 zi1,"wages, pay, CL:個|个,份,月[yuè],"
散步,san4 bu4,"to take a walk, to go for a walk,"
只好,zhi3 hao3,"without any better option, to have to, to be forced to,"
代替,dai4 ti4,"instead, to replace, to substitute (X for Y, or a number in an algebraic expression),"
感動,gan3 dong4,"to move (sb), to touch (sb emotionally), moving,"
知識,zhi1 shi5,"intellectual, knowledge-related, knowledge, CL:門|门[mén],"
鼓掌,gu3 zhang3,"to applaud, to clap,"
難受,nan2 shou4,"to feel unwell, to suffer pain, to be difficult to bear,"
獎金,jiang3 jin1,"premium, award money, a bonus,"
幽默,you1 mo4,"(loanword) humor, humorous,"
軟,ruan3,"soft, flexible,"
孫子,Sun1 zi3,"grandson, son's son,"
汗,han2,"perspiration, sweat, CL:滴,頭|头,身[shēn], to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection),"
收入,shou1 ru4,"to take in, income, revenue, CL:筆|笔,個|个[gè],"
公里,gong1 li3,"kilometer,"
酸,suan1,"sour, sore, ache, acid,"
集合,ji2 he2,"to gather, to assemble, set (mathematics),"
害羞,hai4 xiu1,"shy, embarrassed, bashful,"
基礎,ji1 chu3,"base, foundation, basis, underlying, CL:個|个[gè],"
準時,zhun3 shi2,"on time, punctual, on schedule,"
積極,ji1 ji2,"active, energetic, vigorous, positive (outlook), proactive,"
富,Fu4,"rich, abundant, wealthy,"
力氣,li4 qi5,"strength, CL:把[bǎ],"
入口,ru4 kou3,"entrance,"
襪子,wa4 zi5,"socks, stockings, CL:隻|只,對|对,雙|双[shuāng],"
煩惱,fan2 nao3,"to be worried, to be distressed, worries,"
舉辦,ju3 ban4,"to conduct, to hold,"
現代,Xian4 dai4,"modern times, modern age, modern era,"
瓶子,ping2 zi5,"bottle, CL:個|个[gè],"
減少,jian3 shao3,"to lessen, to decrease, to reduce, to lower,"
親戚,qin1 qi5,"a relative (i.e. family relation), CL:門|门,個|个,位[wèi],"
組成,zu3 cheng2,"to form, to make up, to constitute,"
參觀,can1 guan1,"to look around, to tour, to visit,"
訪問,fang3 wen4,"to visit, to call on, to interview, CL:次[cì],"
豐富,feng1 fu4,"to enrich, rich, plentiful, abundant,"
毛巾,mao2 jin1,"towel, CL:條|条[tiáo],"
作者,zuo4 zhe3,"author, writer, CL:個|个[gè],"
果然,guo3 ran2,"really, sure enough, as expected, if indeed,"
海洋,hai3 yang2,"ocean, CL:個|个[gè],"
批評,pi1 ping2,"to criticize, criticism, CL:個|个[gè],"
例如,li4 ru2,"for example, for instance, such as,"
植物,zhi2 wu4,"botanical, plant, vegetation, CL:種|种[zhǒng],"
家具,jia1 ju4,"furniture, CL:件,套[tào],"
窮,qiong2,"exhausted, poor,"
獅子,Shi1 zi3,"lion, CL:隻|只,頭|头[tóu], Leo (star sign),"
溫度,wen1 du4,"temperature, CL:個|个[gè],"
鹽,yan2,"salt, CL:粒[lì],"
數量,shu4 liang4,"amount, quantity, CL:個|个[gè], quantitative,"
逛,guang4,"to stroll, to visit,"
厚,hou4,"thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress,"
亞洲,Ya4 zhou1,"Asia, Asian,"
來不及,lai2 bu5 ji2,"there's not enough time (to do sth), it's too late (to do sth),"
極其,ji2 qi2,"extremely,"
師傅,shi1 fu5,"master, qualified worker, respectful form of address for older men, CL:個|个,位,名[míng],"
污染,wu1 ran3,"pollution, contamination, CL:個|个[gè],"
寬,Kuan1,"lenient, wide, broad,"
筆記本,bi3 ji4 ben3,"notebook, CL:本[běn],"
朵,duo3,"flower, earlobe, fig. item on both sides, classifier for flowers, clouds etc,"
風景,feng1 jing3,"scenery, landscape, CL:個|个[gè],"
減肥,jian3 fei2,"to lose weight,"
來得及,lai2 de5 ji2,"there's still time, able to do sth in time,"
缺少,que1 shao3,"lack, shortage of, shortfall, to be short (of), to lack,"
老虎,lao3 hu3,"tiger, CL:隻|只[zhī],"
降低,jiang4 di1,"to reduce, to lower, to bring down,"
質量,zhi4 liang4,"quality, mass (in physics), CL:個|个[gè],"
逐漸,zhu2 jian4,"gradually,"
握手,wo4 shou3,"to shake hands,"
其次,qi2 ci4,"next, secondly,"
網球,wang3 qiu2,"tennis, CL:個|个[gè],"
表格,biao3 ge2,"form, table, CL:張|张,份[fèn],"
閱讀,yue4 du2,"to read, reading,"
順序,shun4 xu4,"sequence, order,"
乘坐,cheng2 zuo4,"to ride (in a vehicle),"
重視,zhong4 shi4,"to attach importance to sth, to value,"
推遲,tui1 chi2,"to postpone, to put off, to defer,"
缺點,que1 dian3,"weak point, fault, shortcoming, CL:個|个[gè],"
加油站,jia1 you2 zhan4,"gas station,"
首都,shou3 du1,"capital (city), CL:個|个[gè],"
羨慕,xian4 mu4,"to envy, to admire,"
擴大,kuo4 da4,"to expand, to enlarge, to broaden one's scope,"
不但,bu4 dan4,"not only (... but also...),"
嬾,lan3,"lazy,"
暖和,nuan3 huo5,"warm, nice and warm,"
出差,chu1 chai1,"to go on an official or business trip,"
民族,min2 zu2,"nationality, ethnic group, CL:個|个[gè],"
請客,qing3 ke4,"to give a dinner party, to entertain guests, to invite to dinner,"
傳真,chuan2 zhen1,"fax, facsimile,"
優點,you1 dian3,"merit, benefit, strong point, advantage, CL:個|个[gè],"
垃圾桶,la1 ji1 tong3,"rubbish bin, Taiwan pr. [lè sè tǒng],"
忽然,hu1 ran2,"suddenly, all of a sudden,"
加班,jia1 ban1,"to work overtime,"
按時,an4 shi2,"on time, before deadline, on schedule,"
反映,fan3 ying4,"to mirror, to reflect, mirror image, reflection, fig. to report, to make known, to render, used erroneously for 反應|反应, response or reaction,"
增長,zeng1 zhang3,"to grow, to increase,"
往往,wang3 wang3,"often, frequently,"
得意,de2 yi4,"proud of oneself, pleased with oneself, complacent,"
特點,te4 dian3,"characteristic (feature), trait, feature, CL:個|个[gè],"
合格,he2 ge2,"qualified, meeting a standard, eligible (voter),"
性別,xing4 bie2,"gender, sex, distinguishing between the sexes,"
報名,bao4 ming2,"to sign up, to enter one's name, to apply, to register, to enroll, to enlist,"
個子,ge4 zi5,"height, stature, build, size,"
大使館,da4 shi3 guan3,"embassy, CL:座,個|个[gè],"
總結,zong3 jie2,"to sum up, to conclude, summary, résumé, CL:個|个[gè],"
熱鬧,re4 nao5,"bustling with noise and excitement, lively,"
咳嗽,ke2 sou5,"to cough, CL:陣|阵[zhèn],"
簽證,qian1 zheng4,"visa, certificate, to certify, CL:個|个[gè],"
咸,Xian2,"salted, salty, stingy, miserly,"
流淚,liu2 lei4,"to shed tears,"
打印,da3 yin4,"to print, to seal, to stamp,"
活潑,huo2 po5,"lively, vivacious, brisk, active,"
牙膏,ya2 gao1,"toothpaste, CL:管[guǎn],"
氣候,qi4 hou4,"climate, atmosphere, situation, CL:種|种[zhǒng],"
請假,qing3 jia4,"to request leave of absence,"
理髮,li3 fa4,"a barber, hairdressing,"
整齊,zheng3 qi2,"orderly, neat, even, tidy,"
中文,Zhong1 wen2,"Chinese, Chinese written language, Chinese writing,"
複印,fu4 yin4,"to photocopy, to duplicate a document,"
洗衣機,xi3 yi1 ji1,"washer, washing machine, CL:臺|台[tái],"
研究生,yan2 jiu1 sheng1,"graduate student, postgraduate student, research student,"
表揚,biao3 yang2,"to praise, to commend,"
打針,da3 zhen1,"to give or have an injection,"
普遍,pu3 bian4,"universal, general, widespread, common,"
堵車,du3 che1,"traffic jam, choking,"
葉子,ye4 zi5,"foliage, leaf, CL:片[piàn],"
打折,da3 zhe2,"to give a discount,"
排列,pai2 lie4,"array, arrangement, permutation (i.e. ordered choice of n elements out of m),"
乾燥,gan1 zao4,"to dry (of weather, paint, cement etc), desiccation, dull, uninteresting, arid,"
窄,zhai3,"narrow, narrow-minded, badly off,"
涼快,liang2 kuai5,"nice and cold, pleasantly cool,"
塑料袋,su4 liao4 dai4,"plastic bag,"
導遊,dao3 you2,"tour guide, guidebook, to conduct a tour,"
西紅柿,xi1 hong2 shi4,"tomato, CL:隻|只[zhī],"
招聘,zhao1 pin4,"recruitment, to invite applications for a job,"
節約,jie2 yue1,"to economize, to conserve (resources), economy, frugal,"
碩士,shuo4 shi4,"master's degree, learned person,"
乒乓球,ping1 pang1 qiu2,"table tennis, ping-pong, ping pong, table tennis ball, CL:個|个[gè],"
積累,ji1 lei3,"to accumulate, accumulation, cumulative, cumulatively,"
長城,Chang2 cheng2,"the Great Wall,"
語法,yu3 fa3,"grammar,"
農村,nong2 cun1,"rural area, village, CL:個|个[gè],"
餃子,jiao3 zi5,"dumpling, pot-sticker, CL:個|个,隻|只[zhī],"
售貨員,shou4 huo4 yuan2,"salesperson, CL:個|个[gè],"
流利,liu2 li4,"fluent,"
粗心,cu1 xin1,"careless, thoughtless,"
濕潤,shi1 run4,"moist,"
養成,yang3 cheng2,"to cultivate, to raise, to form (a habit), to acquire,"
馬虎,ma3 hu5,"careless, sloppy, negligent, skimpy,"
詞典,ci2 dian3,"dictionary (of Chinese compound words), also written 辭典|辞典[cí diǎn], CL:部,本[běn],"
羽毛球,yu3 mao2 qiu2,"shuttlecock, badminton, CL:個|个[gè],"
留學,liu2 xue2,"to study abroad,"
寒假,han2 jia4,"winter vacation,"
長江,Chang2 Jiang1,"Yangtze River, or Chang Jiang,"
預習,yu4 xi2,"to prepare a lesson,"
分之,fen1 zhi1,"(indicating a fraction),"
人民幣,ren2 min2 bi4,"Renminbi (RMB), Chinese Yuan (CNY),"
填空,tian2 kong4,"to fill a job vacancy, to fill in a blank (e.g. on questionnaire or exam paper),"
京劇,Jing1 ju4,"Beijing opera, CL:場|场,出[chū],"
翻譯,fan1 yi4,"to translate, to interpret, translator, interpreter, translation, interpretation, CL:個|个,位,名[míng],"
做生意,zuo4 sheng1 yi4,"to do business,"
,,"The summer holidays,"
